m0; false; false
m1; false; false
m2; false; ?
m3; false; ?
m4; false; ?
m5; false; false
m6; false; false
m7; false; ?
m8; false; ?
m9; false; false
m10; false; ?
m11; false; ?
m12; false; ?
m13; false; ?
m14; true; ?
m15; false; false
m16; true; ?
m17; false; ?
m18; false; ?
m19; false; false
m20; false; ?
m21; false; ?
m22; false; ?
m23; false; ?
m24; false; ?
m25; false; ?
m26; true; ?
m27; false; ?
m28; false; ?
m29; false; false
m30; false; ?
m31; false; ?
m32; false; ?
m33; false; ?
m34; false; ?
m35; false; false
m36; false; ?
m37; false; false
m38; false; false
m39; false; false
m40; false; ?
m41; false; ?
m42; false; false
m43; false; false
m44; false; ?
m45; false; ?
m46; false; ?
m47; false; false
m48; false; ?
m49; false; false
m50; false; false
m51; false; false
m52; false; ?
m53; false; ?
m54; false; false
m55; false; ?
m56; false; ?
m57; false; false
m58; false; false
m59; false; ?
m60; false; false
m61; false; ?
m62; false; false
m63; false; false
m64; false; ?
m65; true; true
m66; false; ?
m67; false; ?
m68; false; ?
m69; false; ?
m70; false; false
m71; false; ?
m72; false; ?
m73; false; false
m74; false; ?
m75; true; false
m76; false; ?
m77; false; ?
m78; false; false
m79; false; ?
m80; false; false
m81; false; ?
m82; false; ?
m83; false; false
m84; false; false
m85; false; false
m86; false; ?
m87; false; ?
m88; false; ?
m89; false; ?
m90; false; false
m91; false; ?
m92; false; ?
m93; false; false
m94; false; ?
m95; false; false
m96; false; ?
m97; false; ?
m98; false; ?
m99; false; ?
